Gene	AveExpr	logFC	P.value	q.value
SMARCD3	7.4523660783256	0.150661519657191	3.39140448986702e-10	3.37634029397014e-06
RNF144	8.1799406753002	-0.11707942219785	5.26729276123927e-09	2.54118608473904e-05
SPHK1	6.23424721221631	0.165490501283599	9.02740984000712e-09	2.54118608473904e-05
CORO1C	9.63080469597651	0.0995903458263531	1.46584842032093e-08	2.54118608473904e-05
RNF144A	7.47851906861907	-0.124795177000479	1.81849837003489e-08	2.54118608473904e-05
SULT1A2	7.23819403322172	0.126144706950794	1.91268141499674e-08	2.54118608473904e-05
SQRDL	8.65992487957244	0.0984422508886031	2.17048704543189e-08	2.54118608473904e-05
BCL11B	9.93598071886026	-0.155158189063201	2.37133119632333e-08	2.54118608473904e-05
RAB22A	8.90467622174598	-0.102473359776517	2.66301130015272e-08	2.54118608473904e-05
TYMP	9.09249579188353	0.159262224209778	3.22537520197032e-08	2.54118608473904e-05
DNAJA3	9.12680882845669	-0.0675365341313868	3.2463695519971e-08	2.54118608473904e-05
NUDT7	7.0462255495278	-0.154757941935562	3.30258023589806e-08	2.54118608473904e-05
IMP3	10.8969623848686	-0.0763301355665522	3.31828130197415e-08	2.54118608473904e-05
POM121C	10.5663546307055	-0.0636671448464924	4.00889777412814e-08	2.85077910718063e-05
FTHL2	10.850764947214	0.10071216949312	5.65183500189391e-08	3.75115350366508e-05
PWWP2A	6.33370431866168	-0.102699040057514	7.83287931884252e-08	4.5387505352957e-05
ITGA2B	9.13654037581292	0.266846800304322	8.14930086150445e-08	4.5387505352957e-05
IL2RB	10.1301540696122	-0.167836230776022	8.20620188915819e-08	4.5387505352957e-05
C16orf7	8.35763194939793	0.137180624212119	1.0168008846819e-07	4.60257562402554e-05
CTSD	9.09015358660472	0.125729116538519	1.06960409252207e-07	4.60257562402554e-05
LANCL1	7.90588712388347	-0.111478575602434	1.07755486566214e-07	4.60257562402554e-05
DHX9	6.62890310977255	-0.101407924100074	1.12697414625283e-07	4.60257562402554e-05
MRPS6	10.6625651997917	-0.0792909015819219	1.14632009010517e-07	4.60257562402554e-05
C18orf55	7.42786867286205	-0.103110475605618	1.15282915277055e-07	4.60257562402554e-05
ID3	7.32730253701614	-0.149988001978637	1.19067476170958e-07	4.60257562402554e-05
C6orf48	7.79559232371494	-0.0774314541422371	1.20200883562562e-07	4.60257562402554e-05
MYOM1	7.32686627363598	0.141499526773282	1.31363225083588e-07	4.78118340390304e-05
PRIM1	6.97464455989812	-0.0887158065145534	1.34470436220935e-07	4.78118340390304e-05
CDH6	6.09355187940597	0.15967327533615	1.4541616799447e-07	4.90151137224003e-05
FASTKD5	7.97540407267101	-0.102958299135048	1.47701412425487e-07	4.90151137224003e-05
DDX18	9.67387322110422	-0.0899061642130989	1.61354074701584e-07	5.18185032321641e-05
ILK	10.2436336973433	0.0971807770328592	1.82996089781426e-07	5.52954416532404e-05
FCER1A	9.92975925224614	-0.205055843234278	1.8328910480639e-07	5.52954416532404e-05
DUSP3	10.5298374689882	0.110606319124277	1.92831874636154e-07	5.64633351446134e-05
LOC729102	11.3248769522077	-0.11705586129858	2.11357023145924e-07	5.90142883941588e-05
MAP1A	6.3349113304299	0.205272493713045	2.13399331442181e-07	5.90142883941588e-05
SELP	7.33313635940838	0.213006456006834	2.40079895303225e-07	6.45982406329542e-05
FTHL16	11.7046058753995	0.0616999515828364	2.52627746357054e-07	6.61856856331237e-05
SLC2A4RG	6.61338082679605	-0.103038356285343	2.73257736791933e-07	6.78034163093946e-05
YIF1B	8.35973352888648	0.0899512878887186	2.81278833220886e-07	6.78034163093946e-05
HS1BP3	8.08614564299893	0.0883512114955901	2.85809413849702e-07	6.78034163093946e-05
MIS12	9.06655322539206	-0.0727244982218957	2.86044924388938e-07	6.78034163093946e-05
SIDT1	6.30100508824901	-0.120477410399212	2.99657834339223e-07	6.88330001186442e-05
PRAM1	9.55622410134709	0.10811285600962	3.0522740556383e-07	6.88330001186442e-05
ZBTB33	9.68020345964845	-0.0671979330128715	3.11130503437794e-07	6.88330001186442e-05
EIF4B	11.4816357560208	-0.123450812990193	3.23407763213846e-07	6.97046284378652e-05
MYL9	6.684949423171	0.227039755708209	3.34644771606881e-07	6.97046284378652e-05
SEPT5	13.5488700248298	0.139144560924079	3.36075019837363e-07	6.97046284378652e-05
ZMYM6	9.41997597127623	-0.100912010702711	3.5539476821931e-07	7.22073773408597e-05
HNRPA1P4	10.3068373753954	-0.115514357074515	3.69611907040362e-07	7.35940274066485e-05
TFE3	7.74832893564399	0.0949880014479524	3.86317342372177e-07	7.54120331184669e-05
C5	6.7434608916647	0.109056900299885	4.09693225931424e-07	7.77179145282035e-05
LOC100132299	8.10564170151283	-0.123619809224139	4.16540993409344e-07	7.77179145282035e-05
QSOX1	9.49941424124584	0.0929583227860325	4.2154920747229e-07	7.77179145282035e-05
LEMD3	9.07695715609863	-0.0746156130758386	4.45267723960607e-07	7.9711231400436e-05
ZNF22	8.5797362235886	-0.0781142681208293	4.57411709077046e-07	7.9711231400436e-05
ASAP1	10.5484993846228	0.0761327395804024	4.59279883337745e-07	7.9711231400436e-05
CBARA1	7.8914863439365	0.0847139256589518	4.69803223887579e-07	7.9711231400436e-05
DKFZp761P0423	7.98066605632142	-0.113231837911931	4.72394583101606e-07	7.9711231400436e-05
PRAGMIN	9.49574461968584	-0.100933394244251	4.91091780187799e-07	8.04410099572037e-05
RAB32	9.92791249346079	0.0783414262543448	4.92879469890998e-07	8.04410099572037e-05
ZNF518B	7.80988853232672	-0.0888655605730821	5.07341982892744e-07	8.14658763001854e-05
H2AFJ	8.01842285882946	0.0788991314704623	5.18243658768211e-07	8.18955055637494e-05
TBCA	11.2192849793903	-0.0872492569333183	5.28282356904905e-07	8.21774675848183e-05
DNAJC21	5.73415189684564	-0.105404542715652	5.43754129425653e-07	8.32828986737077e-05
ABLIM1	7.79053484162879	-0.1156416876422	5.64258027204522e-07	8.37875857102588e-05
CLIP2	7.05130642822337	0.117168097146175	5.72041564482805e-07	8.37875857102588e-05
PDHB	10.1313418140012	-0.0956350693050953	5.7229765766991e-07	8.37875857102588e-05
FTHL3	11.2443986609159	0.094638053141233	5.94006556940126e-07	8.57055150545111e-05
ITPK1	9.55326592739887	0.109655006332571	6.22219934753867e-07	8.84937301976172e-05
UTP14C	7.33989943344715	-0.0807114289764228	6.40095832508481e-07	8.97538882575931e-05
ECGF1	10.9929973622385	0.129072243595575	6.62236639902052e-07	9.15687593495276e-05
LOC730316	10.6516356692029	-0.0614440146655967	7.3431894014711e-07	0.00010014482013306
CARD16	7.53546574950119	0.0961019063924997	7.65371691499361e-07	0.000102817640891791
HEATR5B	7.7937878361984	-0.119741705526029	7.74572862769556e-07	0.000102817640891791
CARD11	9.09489985012642	-0.0808836861948094	7.89266054230773e-07	0.000103042386929293
ASF1A	7.48523826047558	-0.144084594429998	8.02565872473608e-07	0.000103042386929293
LARS2	5.60962741549184	-0.106263222867596	8.07316617806926e-07	0.000103042386929293
BMI1	9.12717626244009	-0.0810292991930347	8.26808197467941e-07	0.000104194382094037
C14orf135	7.3889778574454	-0.134611151153411	8.93800563815003e-07	0.000111228801643923
LOC646567	7.90134465518016	-0.110999084326495	9.11734042378869e-07	0.000111713305800342
SNHG6	10.9146679685577	-0.0940366825644586	9.20136238007603e-07	0.000111713305800342
DDX47	8.31453468822303	-0.1177726846359	9.35687245375934e-07	0.000112232655336788
LOC388275	8.97426346671452	-0.114379089364129	9.94376224016032e-07	0.000117852301048783
ICK	6.64528409699892	-0.122489740570933	1.05615566232851e-06	0.000123701688301183
TMEM14D	9.00566321411418	-0.114391419961812	1.0971575136709e-06	0.000127009776371043
CTSA	10.3752189186114	0.102595452117546	1.12585120571474e-06	0.000128833369543948
C14orf43	7.12436551460084	-0.129825354702192	1.189286366803e-06	0.000134545875573212
CYLN2	6.81543421166037	0.139583331019371	1.20644832910797e-06	0.000134953869219379
